NAICS,All,Corp,Non-Corp,CBO calcs
[[11]],0.076925074,0.076344183,0.077199363,0.077553519
[[211]],0.073678107,0.073678107,0.073678107,
[[212]],0.11885515,0.11885515,0.11885515,0.076863803
[[213]],0.100242794,0.100242794,0.100242794,
[[22]],0.037454976,0.037454976,0.037454976,0.039248755
[[23]],0.119733325,0.119733325,0.119733325,0.128202981
"[[31] [32] [33]]",0.095660938,0.095580756,0.095390099,0.092501674
[[32411]],0.079733897,0.079733897,0.079733897,
[[336]],0.102994485,0.102994485,0.102994485,
[[3391]],0.084227016,0.084227016,0.084227016,
[[42]],0.111997398,0.111997398,0.111997398,0.121292732
"[[44] [45]]",0.069994518,0.069994518,0.069994518,0.054503122
"[[48] [49]]",0.058601342,0.064521177,0.051197556,0.07863461
[[51]],0.08695536,0.087126721,0.086098679,0.120126943
[[52]],0.110832669,0.116613316,0.076600395,0.107219595
[[53]],0.06798501,0.10610728,0.055093104,0.101776093
[[54]],0.152451156,0.154469604,0.150974868,0.214499592
[[55]],0.100307415,0.100307415,0.100307415,0.067285902
[[56]],0.12106095,0.109469051,0.131033947,0.095640918
[[61]],0.040570725,0.040570725,0.040570725,0.066874353
[[62]],0.060766907,0.065318478,0.05896101,0.08563005
[[71]],0.062157677,0.060946601,0.062768381,0.063459061
[[72]],0.073237687,0.078406089,0.07003983,0.059951677
[[81]],0.043227727,0.043227727,0.043227727,0.130192705
[[92]],0,0,0,
