Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
1,1632159026,879906217,5784046973,4227276623,17258727143,511882457,5374558624,8044664925,2489592926,48974839934
11,2616245.46542,23011717.9988,11008311.6853,4400168.0611,112742123.198,533560.466199,21770947.1829,81627211.1434,13118204.0545,24505492.1356
211,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
212,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
213,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
22,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
23,7522342.79792,21078722.1678,20271401.434,22688475.947,215080605.771,1096882.06996,59180437.3737,138778934.732,71077359.1633,130095671.86
31.32.33,390201449.527,156704067.701,885921252.334,2228904569.51,5008320030.34,25435913.5687,3138349259.54,2797645142.94,1144521021.07,5909816029.01
32411,46274242.8302,60157899.0286,63511994.4462,501337651.341,762825225.398,11306074.3803,1145481173.6,351844318.677,45753835.1582,1239343317.58
336,33356481.0219,10801462.0627,138106499.256,141659963.453,692557769.171,132201.770087,232382413.345,358160650.742,218989301.476,478411113.053
3391,6803613.23255,1606342.12033,14925321.9448,36182482.8916,63536480.5008,22476.8009483,23577067.2283,38467133.9113,28042969.4329,99597299.5082
42,49044202.802,41444132.7425,170010261.633,171643756.18,981016844.155,3021693.96674,750439330.445,469135506.166,514274574.426,1096707091.62
44.45,40600200.8107,127222967.932,72116341.0648,238560676.769,1208921774.59,1569690.25535,546156583.916,606652515.551,517285732.779,476639016.957
48.49,26513699.9139,17157453.1946,54271483.0852,29437291.0916,1031150203.74,373913.728287,-6163099.21978,402782356.396,13781283.3378,274595307.279
51,105208034.399,27495545.6935,245788178.125,559482646.29,1762761370.93,2402036.10258,-244113046.278,1035130540.57,45421825.3948,2259795699.43
52,521446603.461,22978348.4168,3204576867.03,423945972.04,572371027.748,446102811.956,633080220.321,211897680.097,3002301.78714,31071290226.0
53,46678362.4854,278317370.149,230450670.169,44839062.111,1418766723.48,2490917.51341,-259991408.591,382146193.731,5966129.4115,1279037598.6
54,27539626.4852,4340878.63867,210284912.331,91829612.9422,236389195.746,712360.29264,-447328668.188,142411457.136,25792992.7934,852775306.929
55,248492677.47,37440651.6697,324766435.549,133936679.701,384940292.884,10043730.4237,832318494.538,195448838.72,733001.899637,3841628710.5
56,14294807.182,6676305.51561,24003411.8763,39602741.14,187966605.035,449292.076698,-21330740.0761,104012378.706,3991453.44346,202904301.892
61,1369971.10362,547360.61329,4400772.053,8314704.53874,20102373.341,5904.02728933,2434538.19672,10688747.0401,560803.543565,22867247.7392
62,20471036.9013,9565748.98438,16138303.576,19667953.1976,247237422.752,312682.445267,-114193641.469,126367759.554,3380287.76746,214876512.24
71,4946450.62978,11063192.7166,9228346.11243,6743275.69835,100793216.939,335342.550005,-20391603.356,45804011.7601,2136066.32758,57853202.2899
72,20866992.0863,61355637.1896,20508821.6283,118648212.221,339485455.595,2404657.1147,66491176.2063,146669386.363,12982094.3797,194701714.304
81,2758118.05981,6226308.02086,8173859.25584,5690397.38772,58228345.727,9117720.14351,11039470.6515,35800095.4614,7342539.44749,20707943.4037
