Codes:,Land,FA
1,22855250.4907,3634362749.51
11,22855250.4907,3634362749.51
111,12759961.7839,1946245979.12
1111,2551992.35677,389249195.825
11111,364570.336682,55607027.975
111110,364570.336682,55607027.975
11112,364570.336682,55607027.975
111120,364570.336682,55607027.975
11113,364570.336682,55607027.975
111130,364570.336682,55607027.975
11114,364570.336682,55607027.975
111140,364570.336682,55607027.975
11115,364570.336682,55607027.975
111150,364570.336682,55607027.975
11116,364570.336682,55607027.975
111160,364570.336682,55607027.975
11119,364570.336682,55607027.975
111191,182285.168341,27803513.9875
111199,182285.168341,27803513.9875
1112,2551992.35677,389249195.825
11121,2551992.35677,389249195.825
111211,1275996.17839,194624597.912
111219,1275996.17839,194624597.912
1113,2551992.35677,389249195.825
11131,850664.118925,129749731.942
111310,850664.118925,129749731.942
11132,850664.118925,129749731.942
111320,850664.118925,129749731.942
11133,850664.118925,129749731.942
111331,121523.445561,18535675.9917
111332,121523.445561,18535675.9917
111333,121523.445561,18535675.9917
111334,121523.445561,18535675.9917
111335,121523.445561,18535675.9917
111336,121523.445561,18535675.9917
111339,121523.445561,18535675.9917
1114,2551992.35677,389249195.825
11141,1275996.17839,194624597.912
111411,637998.089193,97312298.9562
111419,637998.089193,97312298.9562
11142,1275996.17839,194624597.912
111421,637998.089193,97312298.9562
111422,637998.089193,97312298.9562
1119,2551992.35677,389249195.825
11191,510398.471355,77849839.165
111910,510398.471355,77849839.165
11192,510398.471355,77849839.165
111920,510398.471355,77849839.165
11193,510398.471355,77849839.165
111930,510398.471355,77849839.165
11194,510398.471355,77849839.165
111940,510398.471355,77849839.165
11199,510398.471355,77849839.165
111991,170132.823785,25949946.3883
111992,170132.823785,25949946.3883
111998,170132.823785,25949946.3883
112,10095288.7069,1688116770.38
1121,1682548.11781,281352795.064
11211,560849.372603,93784265.0214
112111,280424.686302,46892132.5107
112112,280424.686302,46892132.5107
11212,560849.372603,93784265.0214
112120,560849.372603,93784265.0214
11213,560849.372603,93784265.0214
112130,560849.372603,93784265.0214
1122,1682548.11781,281352795.064
11221,1682548.11781,281352795.064
112210,1682548.11781,281352795.064
1123,1682548.11781,281352795.064
11231,336509.623562,56270559.0128
112310,336509.623562,56270559.0128
11232,336509.623562,56270559.0128
112320,336509.623562,56270559.0128
11233,336509.623562,56270559.0128
112330,336509.623562,56270559.0128
11234,336509.623562,56270559.0128
112340,336509.623562,56270559.0128
11239,336509.623562,56270559.0128
112390,336509.623562,56270559.0128
1124,1682548.11781,281352795.064
11241,841274.058905,140676397.532
112410,841274.058905,140676397.532
11242,841274.058905,140676397.532
112420,841274.058905,140676397.532
1125,1682548.11781,281352795.064
11251,1682548.11781,281352795.064
112511,560849.372603,93784265.0214
112512,560849.372603,93784265.0214
112519,560849.372603,93784265.0214
1129,1682548.11781,281352795.064
11291,420637.029452,70338198.766
112910,420637.029452,70338198.766
11292,420637.029452,70338198.766
112920,420637.029452,70338198.766
11293,420637.029452,70338198.766
112930,420637.029452,70338198.766
11299,420637.029452,70338198.766
112990,420637.029452,70338198.766
